id,action_flow_id,action_flow_des,intention_1,intention_2,act_seq_start,act_seq_end,ob_start_frame,ob_end_frame,ob_act_seq,future_act_seq,scene
RO8Y6,c018 10.60 15.40;c015 10.60 28.50;c016 13.30 27.30;c017 23.60 29.80,Taking a phone/camera from somewhere;Holding a phone/camera;Playing with a phone/camera;Putting a phone/camera somewhere,take pictures;S/He wants to check the camera's usability,play with a phone;S/He wants to enterain himself/her/hisself,10.6,29.8,255,346,Taking a phone/camera from somewhere;Holding a phone/camera;Playing with a phone/camera,Putting a phone/camera somewhere,Bathroom
9A90E,c143 1.10 8.40;c063 3.50 20.80;c064 6.80 12.50;c109 15.20 21.40,Opening a refrigerator;Taking food from somewhere;Throwing food somewhere;Putting a cup/glass/bottle somewhere,eat something;S/He is hungry,open refrigerator;S/He wants to get some food,1.1,21.4,27,123,Opening a refrigerator;Taking food from somewhere,Throwing food somewhere;Putting a cup/glass/bottle somewhere,Kitchen
PV856,c141 0.00 8.80;c097 0.20 6.00;c006 2.60 7.30;c008 27.70 33.30,Grasping onto a doorknob;Walking through a doorway;Closing a door;Opening a door,walk through the doorway;S/He wants to step out of the room,graspe a doorknob;S/He wants to open a door,0,33.3,1,159,Grasping onto a doorknob;Walking through a doorway;Closing a door,Opening a door,Garage
RGE8C,c057 0.00 8.90;c056 0.00 31.00;c053 4.40 9.80;c005 9.20 21.70;c002 11.10 17.10;c000 11.40 17.10;c055 16.40 28.90,Taking off some shoes;Taking shoes from somewhere;Holding a shoe/shoes;Washing some clothes;Taking some clothes from somewhere;Holding some clothes;Putting on shoe/shoes,wash shoes;S/He wants to do housework,wash some shoes;S/He wants to do the laundry,0,31,1,148,Taking off some shoes;Taking shoes from somewhere;Holding a shoe/shoes,Washing some clothes;Taking some clothes from somewhere;Holding some clothes;Putting on shoe/shoes,Laundry room
EUJK0,c030 19.00 26.60;c027 20.40 32.00;c026 20.60 32.00;c029 20.70 32.00;c032 20.90 32.00,Taking a book from somewhere;Opening a book;Holding a book;Smiling at a book;Watching/Reading/Looking at a book,read a book;S/He wants to entertain himself/her/hisself,read a book;S/He wants to do some reading,19,32,457,518,Taking a book from somewhere;Opening a book;Holding a book;Smiling at a book;Watching/Reading/Looking at a book,,Bedroom
MO0SA,c053 0.00 7.70;c054 0.00 9.10;c000 6.60 30.00;c001 8.50 29.20;c002 10.20 17.40,Holding a shoe/shoes;Putting shoes somewhere;Holding some clothes;Putting clothes somewhere;Taking some clothes from somewhere,have a rest;S/He wants to enjoy her/his free time,sleep on the floor;S/He wants to have a rest,0,30,1,144,Holding a shoe/shoes;Putting shoes somewhere,Holding some clothes;Putting clothes somewhere;Taking some clothes from somewhere,Hallway
CA7T0,c156 0.00 27.70;c061 0.00 27.90;c065 0.00 27.90;c118 0.00 28.30;c067 0.00 30.80;c107 0.00 35.10;c106 3.60 27.70;c109 22.40 30.40;c068 23.50 29.50;c119 23.90 30.20;c062 24.50 30.20,Someone is eating something;Holding some food;Eating a sandwich;Holding a dish;Holding a sandwich;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Putting a sandwich somewhere;Putting a dish/es somewhere;Putting some food somewhere,eat a sandwich and drink some water;S/He wants to have a meal,eat a sandwich;S/He is hungry,0,35.1,1,168,Someone is eating something;Holding some food;Eating a sandwich;Holding a dish;Holding a sandwich;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere;Putting a sandwich somewhere;Putting a dish/es somewhere;Putting some food somewhere,Laundry room
NDYOR,c074 0.70 8.30;c075 2.40 18.70;c073 4.30 12.90;c071 4.60 18.70,Throwing a blanket somewhere;Tidying up a blanket/s;Taking a blanket from somewhere;Putting a blanket somewhere,fold the blanket;S/He wants to arrange the blanket,fold the blanket;S/He wants to arrange the blanket,0.7,18.7,17,103,Throwing a blanket somewhere;Tidying up a blanket/s,Taking a blanket from somewhere;Putting a blanket somewhere,Bedroom
TFWNO,c072 0.00 22.40;c070 0.00 24.50;c074 18.70 26.30;c073 22.80 29.20;c075 25.50 31.00,Snuggling with a blanket;Holding a blanket;Throwing a blanket somewhere;Taking a blanket from somewhere;Tidying up a blanket/s,take a blanket from somewhere;S/He wants to arrange the blanket,fold the blanket;S/He wants to arrange the blanket,0,31,1,148,Snuggling with a blanket;Holding a blanket,Throwing a blanket somewhere;Taking a blanket from somewhere;Tidying up a blanket/s,Living room
69R8T,c118 0.00 24.20;c061 0.00 24.40;c062 0.00 24.40;c109 20.20 26.20;c120 20.20 27.00;c063 20.70 26.70;c110 21.70 26.90;c119 21.90 26.90;c107 22.10 34.00;c106 23.00 32.60;c156 24.90 33.00,Holding a dish;Holding some food;Putting some food somewhere;Putting a cup/glass/bottle somewhere;Taking a dish/es from somewhere;Taking food from somewhere;Taking a cup/glass/bottle from somewhere;Putting a dish/es somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Someone is eating something,have a meal;S/He is hungry,eat something;S/He is hungry,0,34,1,163,Holding a dish;Holding some food;Putting some food somewhere,Putting a cup/glass/bottle somewhere;Taking a dish/es from somewhere;Taking food from somewhere;Taking a cup/glass/bottle from somewhere;Putting a dish/es somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Someone is eating something,Bedroom
GH19N,c002 11.60 17.40;c001 14.10 29.00;c000 14.50 26.30;c148 14.70 29.0,Taking some clothes from somewhere;Putting clothes somewhere;Holding some clothes;Someone is dressing,dress himself;S/He wants to keep warm,dress after taking the clothes;S/He wants to get dressed up,11.6,29,279,361,Taking some clothes from somewhere;Putting clothes somewhere;Holding some clothes;Someone is dressing,,Closet / Walk-in closet / Spear closet
A7WU3,c102 0.00 4.30;c098 0.00 21.00;c099 17.50 23.80;c127 23.60 32.00,Tidying up with a broom;Holding a broom;Putting a broom somewhere;Tidying something on the floor,tidy the floor with a broom;S/He wants to tidy the room,hold a broom;S/He wants to clean the floor with a broom,0,32,1,153,Tidying up with a broom;Holding a broom,Putting a broom somewhere;Tidying something on the floor,Living room
42PMR,c063 0.00 3.20;c061 0.00 4.50;c119 0.00 6.90;c118 2.90 9.40;c120 3.00 7.80;c063 14.50 19.90;c062 14.70 39.70;c143 22.70 30.50;c142 35.50 40.00,Taking food from somewhere;Holding some food;Putting a dish/es somewhere;Holding a dish;Taking a dish/es from somewhere;Taking food from somewhere;Putting some food somewhere;Opening a refrigerator;Closing a refrigerator,cook a dish;S/He wants to prepare a meal,take something from a refrigerator;S/He wants to make use of a refrigerator,0,40,1,192,Taking food from somewhere;Holding some food;Putting a dish/es somewhere;Holding a dish;Taking a dish/es from somewhere,Taking food from somewhere;Putting some food somewhere;Opening a refrigerator;Closing a refrigerator,Kitchen
F0ZPW,c063 0.00 12.20;c061 0.40 27.00;c156 2.70 26.20;c110 19.40 30.10;c062 19.60 25.80;c107 20.20 32.50;c106 22.60 33.10;c118 23.40 30.70;c120 23.40 31.30;c109 24.80 33.50;c119 25.60 30.30,Taking food from somewhere;Holding some food;Someone is eating something;Taking a cup/glass/bottle from somewhere;Putting some food somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Holding a dish;Taking a dish/es from somewhere;Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere,eat and drink something;S/He is hungry,eat food and drink water;S/He is hungry and thirsty,0,33.5,1,160,Taking food from somewhere;Holding some food;Someone is eating something,Taking a cup/glass/bottle from somewhere;Putting some food somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Holding a dish;Taking a dish/es from somewhere;Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere,Closet / Walk-in closet / Spear closet
HXR3Z,c063 0.00 3.30;c061 0.00 34.00;c156 0.00 34.00;c062 12.40 19.70,Taking food from somewhere;Holding some food;Someone is eating something;Putting some food somewhere,work on the laptop;S/He wants to earn one's living,eat something;S/He is hungry,0,34,1,163,Taking food from somewhere;Holding some food;Someone is eating something,Putting some food somewhere,Home Office / Study (A room in a house used for work)
3STO2,c118 4.60 22.70;c107 5.10 21.40;c106 8.60 14.80;c110 13.60 27.20,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere,drink some water;S/He is thirsty,drink water;S/He is thirsty,4.6,27.2,111,218,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Taking a cup/glass/bottle from somewhere,Bathroom
8NDRG,c002 11.30 16.30;c004 11.30 32.00;c001 13.60 22.80;c000 24.10 30.50,Taking some clothes from somewhere;Tidying some clothes;Putting clothes somewhere;Holding some clothes,wash some clothes;S/He wants to do the laundry,tidy up the clothes;S/He wants to do housework,11.3,32,272,370,Taking some clothes from somewhere;Tidying some clothes;Putting clothes somewhere,Holding some clothes,Bedroom
391VK,c000 14.00 27.90;c003 14.40 27.00;c001 15.00 23.7;c003 17.40 22.50,Holding some clothes;Throwing clothes somewhere;Putting clothes somewhere;Throwing clothes somewhere,fold the clothes;S/He wants to arrange the clothes,tidy up the cabinet;S/He wants to tidy up,14,27.9,337,402,Holding some clothes;Throwing clothes somewhere;Putting clothes somewhere,Throwing clothes somewhere,Closet / Walk-in closet / Spear closet
1HGEX,c030 15.10 21.10;c026 15.10 31.00;c032 16.00 31.00;c027 16.80 24.40;c025 26.80 31.00,Taking a book from somewhere;Holding a book;Watching/Reading/Looking at a book;Opening a book;Closing a book,read a book;S/He wants to learn something new,read a book;S/He wants to enterain himself/her/hisself,15.1,31,363,438,Taking a book from somewhere;Holding a book;Watching/Reading/Looking at a book;Opening a book,Closing a book,Home Office / Study (A room in a house used for work)
BFW9A,c106 0.00 5.00;c107 0.00 28.00;c109 23.00 29.80;c009 23.00 29.80,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Putting something on a table,drink something;S/He is thirsty,drink some water;S/He is thirsty,0,29.8,1,143,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something,Putting a cup/glass/bottle somewhere;Putting something on a table,Kitchen
TON6G,c051 0.00 17.40;c052 0.00 18.60;c047 0.20 17.20;c046 13.20 18.60,Watching a laptop or something on a laptop;Working/Playing on a laptop;Holding a laptop;Closing a laptop,have a joyful activity;S/He wants to entertain himself/her/hisself,watch a laptop;S/He wants to work on laptop,0,18.6,1,89,Watching a laptop or something on a laptop;Working/Playing on a laptop;Holding a laptop,Closing a laptop,Garage
XC9EY,c107 0.00 20.90;c118 0.00 21.00;c119 15.90 21.10;c109 15.90 21.50;c009 16.10 21.10,Holding a cup/glass/bottle of something;Holding a dish;Putting a dish/es somewhere;Putting a cup/glass/bottle somewhere;Putting something on a table,put a glass on a table;S/He wants to put down a glass,drink some water;S/He is thirsty,0,21.5,1,103,Holding a cup/glass/bottle of something;Holding a dish,Putting a dish/es somewhere;Putting a cup/glass/bottle somewhere;Putting something on a table,Hallway
M9KMN,c032 0.00 2.90;c028 0.00 5.80;c030 16.10 32.00;c027 16.40 21.80;c026 16.70 32.00;c025 20.20 25.30,Watching/Reading/Looking at a book;Putting a book somewhere;Taking a book from somewhere;Opening a book;Holding a book;Closing a book,read a book;S/He wants to entertain himself/her/hisself,read a book;S/He wants to learn something,0,32,1,153,Watching/Reading/Looking at a book;Putting a book somewhere,Taking a book from somewhere;Opening a book;Holding a book;Closing a book,Home Office / Study (A room in a house used for work)
LQMXW,c001 0.00 16.40;c000 0.00 16.60;c033 0.00 16.80;c038 7.20 14.60;c036 10.80 16.60;c034 11.20 18.40,Putting clothes somewhere;Holding some clothes;Holding a towel/s;Washing something with a towel;Throwing a towel/s somewhere;Putting a towel/s somewhere,wash something with a towel;S/He wants to clean something,clean the face with a towel;S/He wants to make use of a towel,0,18.4,1,88,Putting clothes somewhere;Holding some clothes;Holding a towel/s,Washing something with a towel;Throwing a towel/s somewhere;Putting a towel/s somewhere,Living room
S7OTQ,c030 0.00 7.90;c026 0.00 18.20;c027 1.20 7.20;c032 1.50 17.90;c025 13.30 20.70;c028 13.40 21.60,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book;Closing a book;Putting a book somewhere,read a book;S/He wants to do some reading,read a book;S/He wants to enterain himself/her/hisself,0,21.6,1,103,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book,Closing a book;Putting a book somewhere,Kitchen
ZY2B1,c000 0.00 9.30;c004 1.10 21.10;c002 5.40 10.40;c001 15.00 20.10;c003 16.60 24.70,Holding some clothes;Tidying some clothes;Taking some clothes from somewhere;Putting clothes somewhere;Throwing clothes somewhere,tidy up the blanket;S/He wants to tidy up,fold the clothes;S/He wants to arrange the clothes,0,24.7,1,118,Holding some clothes;Tidying some clothes,Taking some clothes from somewhere;Putting clothes somewhere;Throwing clothes somewhere,Living room
4WMDU,c106 0.20 7.80;c109 2.60 7.90;c063 7.10 14.30;c110 19.60 26.20;c107 19.80 30.50,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Taking food from somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something,drink some water;S/He is thirsty,drink something;S/He is thirsty,0.2,30.5,5,150,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,Taking food from somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something,Kitchen
M5W51,c063 23.00 31.00;c118 24.30 31.00;c120 24.60 31.00;c119 28.00 31.00,Taking food from somewhere;Holding a dish;Taking a dish/es from somewhere;Putting a dish/es somewhere,wake and eat some food;S/He is hungry,at something;S/He is hungry,23,31,553,590,Taking food from somewhere;Holding a dish,Taking a dish/es from somewhere;Putting a dish/es somewhere,Basement (A room below the ground floor)
JPEM7,c156 0.00 3.00;c065 0.00 25.00;c067 3.10 11.50;c068 6.70 13.10,Someone is eating something;Eating a sandwich;Holding a sandwich;Putting a sandwich somewhere,eat a sandwich;S/He is hungry,eat a sandwich;S/He is hungry,0,25,1,120,Someone is eating something;Eating a sandwich;Holding a sandwich,Putting a sandwich somewhere,Dining room
96GC9,c110 0.00 5.40;c106 0.00 10.90;c107 0.00 23.9;c069 6.90 12.50;c109 6.90 14.80;c156 7.20 19.30;c067 7.60 17.40;c068 11.00 16.60,Taking a cup/glass/bottle from somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Taking a sandwich from somewhere;Putting a cup/glass/bottle somewhere;Someone is eating something;Holding a sandwich;Putting a sandwich somewhere,eat something;S/He is hungry,drink some water and eat some food;S/He is thirsty and hungry,0,23.9,1,114,Taking a cup/glass/bottle from somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something,Taking a sandwich from somewhere;Putting a cup/glass/bottle somewhere;Someone is eating something;Holding a sandwich;Putting a sandwich somewhere,Basement (A room below the ground floor)
JJLTF,c118 2.40 35.00;c107 2.90 35.00;c106 5.30 12.00;c109 27.40 35.00,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,drink something from a cup;S/He is thirsty,drink some water;S/He is thirsty,2.4,35,58,214,Holding a dish;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere,Kitchen
ARWNX,c043 1.40 8.10;c040 2.30 11.50;c042 5.20 11.50;c045 5.80 11.60,Taking a box from somewhere;Holding a box;Putting a box somewhere;Throwing a box somewhere,put something into box;S/He wants to organize items,arrange the box;S/He wants to do housework,1.4,11.6,34,82,Taking a box from somewhere;Holding a box,Putting a box somewhere;Throwing a box somewhere,Kitchen
B9XZX,c118 0.00 5.00;c143 2.90 8.70;c142 3.50 10.20;c061 3.50 12.10;c063 3.50 12.10;c106 17.60 26.00,Holding a dish;Opening a refrigerator;Closing a refrigerator;Holding some food;Taking food from somewhere;Drinking from a cup/glass/bottle,use a pan to cook something;S/He wants to do some cooking,drink some water;S/He is thirsty,0,26,1,124,Holding a dish;Opening a refrigerator;Closing a refrigerator;Holding some food;Taking food from somewhere,Drinking from a cup/glass/bottle,Kitchen
77JGY,c156 0.00 13.90;c065 0.00 13.90;c061 0.00 15.40;c067 0.00 22.10;c068 11.40 22.00;c062 15.30 22.80,Someone is eating something;Eating a sandwich;Holding some food;Holding a sandwich;Putting a sandwich somewhere;Putting some food somewhere,put some food after eating s sandwich;S/He wants to relax,eat a sandwich;S/He is hungry,0,22.8,1,109,Someone is eating something;Eating a sandwich;Holding some food;Holding a sandwich,Putting a sandwich somewhere;Putting some food somewhere,Home Office / Study (A room in a house used for work)
E780X,c106 1.70 10.90;c110 2.00 31.00;c118 2.00 31.00;c119 2.00 31.00;c107 6.70 12.80,Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Holding a dish;Putting a dish/es somewhere;Holding a cup/glass/bottle of something,drink some water;S/He is thirsty,drink water;S/He is thirsty,1.7,31,41,181,Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Holding a dish;Putting a dish/es somewhere;Holding a cup/glass/bottle of something,,Laundry room
HBWLV,c014 0.00 28.10;c011 0.00 30.40;c009 9.40 14.30;c012 24.40 31.20,Working at a table;Sitting at a table;Putting something on a table;Tidying up a table,sit at a table;S/He wants to tidy up a table,brush shoes;S/He wants to do housework,0,31.2,1,149,Working at a table;Sitting at a table,Putting something on a table;Tidying up a table,Dining room
93EOJ,c073 1.70 9.30;c070 2.10 14.90;c075 7.80 14.90;c071 10.60 15.90,Taking a blanket from somewhere;Holding a blanket;Tidying up a blanket/s;Putting a blanket somewhere,fold the blanket;S/He wants to arrange the blanket,arrange the blanket;S/He wants to do housework,1.7,15.9,41,108,Taking a blanket from somewhere;Holding a blanket,Tidying up a blanket/s;Putting a blanket somewhere,Laundry room
L8Y8D,c147 0.00 29.10;c120 21.80 29.90;c110 27.80 33.50;c143 30.60 36.50;c108 33.30 46.60;c106 43.70 55.10;c142 47.80 56.00,Someone is cooking something;Taking a dish/es from somewhere;Taking a cup/glass/bottle from somewhere;Opening a refrigerator;Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle;Closing a refrigerator,cook something;S/He wants to prepare a meal,cook a dish;S/He wants to prepare a meal,0,56,1,268,Someone is cooking something,Taking a dish/es from somewhere;Taking a cup/glass/bottle from somewhere;Opening a refrigerator;Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle;Closing a refrigerator,Kitchen
ZNQVC,c002 0.00 12.20;c004 0.00 12.50;c000 0.00 12.50;c001 0.00 14.70;c057 10.50 30.3;c053 15.00 30.60;c054 17.40 31.40;c056 24.40 32.00,Taking some clothes from somewhere;Tidying some clothes;Holding some clothes;Putting clothes somewhere;Taking off some shoes;Holding a shoe/shoes;Putting shoes somewhere;Taking shoes from somewhere,fold the clothes;S/He wants to arrange the clothes,put clothes and shoes somewhere;S/He wants to arrange the clothes,0,32,1,153,Taking some clothes from somewhere;Tidying some clothes;Holding some clothes;Putting clothes somewhere,Taking off some shoes;Holding a shoe/shoes;Putting shoes somewhere;Taking shoes from somewhere,Bedroom
GEJPM,c110 3.20 9.70;c121 4.50 17.00;c111 4.50 17.20;c107 5.50 15.80;c110 13.40 20.50;c109 16.50 21.40;c119 19.10 29.10;c107 23.00 28.00,Taking a cup/glass/bottle from somewhere;Wash a dish/dishes;Washing a cup/glass/bottle;Holding a cup/glass/bottle of something;Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere;Holding a cup/glass/bottle of something,clean the glasses;S/He wants to do housework,tidy up the some dishes;S/He wants to clean the kitchen,3.2,29.1,77,201,Taking a cup/glass/bottle from somewhere;Wash a dish/dishes;Washing a cup/glass/bottle;Holding a cup/glass/bottle of something,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Putting a dish/es somewhere;Holding a cup/glass/bottle of something,Dining room
PABBK,c129 6.70 21.00;c128 7.00 18.10;c063 17.30 31.00;c156 17.40 31.00,Taking/consuming some medicine;Holding some medicine;Taking food from somewhere;Someone is eating something,take a medicine;S/He wants to deal with illness,take medicine;S/He wants to deal with illness,6.7,31,161,277,Taking/consuming some medicine;Holding some medicine,Taking food from somewhere;Someone is eating something,Recreation room / Man cave
6JKD6,c040 2.20 9.70;c042 4.80 11.20;c041 8.80 16.40;c044 11.30 17.50;c039 23.80 30.20,Holding a box;Putting a box somewhere;Opening a box;Taking something from a box;Closing a box,open a box;S/He wants to take something,put something into a box;S/He wants to make use of the box,2.2,30.2,53,187,Holding a box;Putting a box somewhere,Opening a box;Taking something from a box;Closing a box,Bathroom
7R4YS,c022 2.20 10.10;c020 2.50 32.00;c021 3.50 9.20;c023 6.00 11.20,Putting a bag somewhere;Holding a bag;Opening a bag;Taking a bag from somewhere,hold a bag;S/He wants to make use of a bag,hurry on;S/He wants to go out to play,2.2,32,53,195,Putting a bag somewhere;Holding a bag;Opening a bag;Taking a bag from somewhere,,Bedroom
FG9NT,c063 7.50 13.00;c120 7.50 24.80;c118 7.70 28.00;c062 8.50 28.00;c061 10.00 28.00;c156 11.50 20.90,Taking food from somewhere;Taking a dish/es from somewhere;Holding a dish;Putting some food somewhere;Holding some food;Someone is eating something,eat food;S/He is hungry,eat a sandwich;S/He is hungry,7.5,28,181,278,Taking food from somewhere;Taking a dish/es from somewhere;Holding a dish;Putting some food somewhere;Holding some food;Someone is eating something,,Bathroom
WUTHF,c068 0.60 5.30;c118 0.60 5.70;c061 5.20 9.80;c064 6.70 11.10,Putting a sandwich somewhere;Holding a dish;Holding some food;Throwing food somewhere,throw a food after holding it;S/He wants to clean the room,refuse to eat;S/He is unhappy,0.6,11.1,15,64,Putting a sandwich somewhere;Holding a dish,Holding some food;Throwing food somewhere,Entryway (A hall that is generally located at the entrance of a house)
E18UD,c108 2.60 17.00;c063 13.20 21.40;c061 14.10 19.50;c156 14.90 39.00,Pouring something into a cup/glass/bottle;Taking food from somewhere;Holding some food;Someone is eating something,eat some food;S/He is hungry,drink some water;S/He is thirsty,2.6,39,63,237,Pouring something into a cup/glass/bottle,Taking food from somewhere;Holding some food;Someone is eating something,Home Office / Study (A room in a house used for work)
RKGXU,c143 0.00 5.00;c063 0.90 9.20;c061 4.80 18.40;c156 5.40 12.80;c142 11.90 17.50;c106 14.70 23.40;c110 14.90 22.90;c118 15.40 26.00;c107 20.20 26.00,Opening a refrigerator;Taking food from somewhere;Holding some food;Someone is eating something;Closing a refrigerator;Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Holding a dish;Holding a cup/glass/bottle of something,eat something and drink some water;S/He is hungry and thirsty,eat a sandwich and drink;S/He is hungry,0,26,1,124,Opening a refrigerator;Taking food from somewhere;Holding some food,Someone is eating something;Closing a refrigerator;Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Holding a dish;Holding a cup/glass/bottle of something,Kitchen
PPKP0,c061 0.00 10.10;c118 0.00 10.10;c119 5.80 12.20;c106 11.90 22.30,Holding some food;Holding a dish;Putting a dish/es somewhere;Drinking from a cup/glass/bottle,drink some water;S/He is thirsty,drink water;S/He is thirsty,0,22.3,1,107,Holding some food;Holding a dish,Putting a dish/es somewhere;Drinking from a cup/glass/bottle,Laundry room
DTJ6B,c070 0.00 7.60;c072 0.00 8.10;c074 2.00 8.00;c071 2.10 7.90,Holding a blanket;Snuggling with a blanket;Throwing a blanket somewhere;Putting a blanket somewhere,old the blanket;S/He wants to arrange the blanket,put a blanket somewhere;S/He wants to arrange the blanket,0,8.1,1,38,Holding a blanket;Snuggling with a blanket,Throwing a blanket somewhere;Putting a blanket somewhere,Dining room
XJH5D,c033 15.90 30.20;c037 16.10 30.40;c035 16.50 24.50;c034 23.60 31.00;c036 25.20 31.00,Holding a towel/s;Tidying up a towel/s;Taking a towel/s from somewhere;Putting a towel/s somewhere;Throwing a towel/s somewhere,pick up the towel and put it on the table;S/He wants to do housework,arrange the towel;S/He wants to do housework,15.9,31,382,454,Holding a towel/s;Tidying up a towel/s;Taking a towel/s from somewhere,Putting a towel/s somewhere;Throwing a towel/s somewhere,Entryway (A hall that is generally located at the entrance of a house)
4LU0G,c009 2.00 8.10;c011 5.60 32.1;c151 5.80 11.10;c123 6.60 32.20,Putting something on a table;Sitting at a table;Someone is going from standing to sitting;Sitting on sofa/couch,take notes;S/He wants to learn something,sit down after putting down something;S/He wants to relax,2,32.2,49,192,Putting something on a table;Sitting at a table;Someone is going from standing to sitting;Sitting on sofa/couch,,Dining room
H0Q6V,c057 0.00 13.10;c053 0.60 12.00;c054 2.20 15.00;c058 4.20 13.10,Taking off some shoes;Holding a shoe/shoes;Putting shoes somewhere;Throwing shoes somewhere,lie on the sofa;S/He wants to have a rest,take off shoes;S/He wants to go to bed,0,15,1,72,Taking off some shoes;Holding a shoe/shoes;Putting shoes somewhere,Throwing shoes somewhere,Living room
NFA8R,c002 0.00 4.40;c000 0.00 5.50;c001 0.00 31.00;c004 0.00 31.00;c003 23.30 29.30,Taking some clothes from somewhere;Holding some clothes;Putting clothes somewhere;Tidying some clothes;Throwing clothes somewhere,wash some clothes;S/He wants to do the laundry,wash the some clothes;S/He wants to do the laundry,0,31,1,148,Taking some clothes from somewhere;Holding some clothes;Putting clothes somewhere;Tidying some clothes,Throwing clothes somewhere,Closet / Walk-in closet / Spear closet
SNK5Z,c063 13.20 19.90;c061 14.80 19.50;c156 15.10 20.90;c062 17.40 23.90,Taking food from somewhere;Holding some food;Someone is eating something;Putting some food somewhere,eat a sandwich;S/He is hungry,eat some food;S/He is hungry,13.2,23.9,317,368,Taking food from somewhere;Holding some food;Someone is eating something,Putting some food somewhere,Pantry
JDDD8,c061 0.20 11.70;c063 0.50 7.50;c064 6.80 11.80;c062 10.00 14.40,Holding some food;Taking food from somewhere;Throwing food somewhere;Putting some food somewhere,put food into the cabinet;S/He wants to do housework,eat a sandwich;S/He is hungry,0.2,14.4,5,72,Holding some food;Taking food from somewhere,Throwing food somewhere;Putting some food somewhere,Kitchen
BLPAB,c145 0.00 18.50;c032 0.00 22.10;c026 0.00 22.10;c025 14.50 20.00;c028 15.40 22.40,Working on paper/notebook;Watching/Reading/Looking at a book;Holding a book;Closing a book;Putting a book somewhere,put a book after reading it;S/He wants to drink some water,write something on a notebook;S/He wants to do some writing,0,22.4,1,107,Working on paper/notebook;Watching/Reading/Looking at a book;Holding a book,Closing a book;Putting a book somewhere,Bedroom
OWZCZ,c143 0.00 5.10;c063 3.00 11.90;c061 4.40 12.60;c142 4.60 11.60;c062 8.00 14.60;c147 8.40 22.20,Opening a refrigerator;Taking food from somewhere;Holding some food;Closing a refrigerator;Putting some food somewhere;Someone is cooking something,cook something;S/He wants to prepare a meal,cook a dish;S/He wants to prepare a meal,0,22.2,1,106,Opening a refrigerator;Taking food from somewhere;Holding some food,Closing a refrigerator;Putting some food somewhere;Someone is cooking something,Kitchen
QUGSS,c106 0.00 7.10;c107 0.00 34.00;c156 1.90 11.20;c065 2.10 11.20,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Someone is eating something;Eating a sandwich,drink some water;S/He is thirsty,drink something and eat a sandwich;S/He wants to have a meal,0,34,1,163,Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Someone is eating something;Eating a sandwich,,Kitchen
9BPW6,c070 1.30 32.00;c073 1.70 7.80;c071 1.70 14.00;c072 12.40 32.00,Holding a blanket;Taking a blanket from somewhere;Putting a blanket somewhere;Snuggling with a blanket,snuggle with a blanket;S/He wants to keep warm,hold a blanket;S/He wants to keep the body warm,1.3,32,32,178,Holding a blanket;Taking a blanket from somewhere;Putting a blanket somewhere,Snuggling with a blanket,Dining room
